horizon,feature,importance_score
48h,V2_expected_delta_T,46019.72526840056
48h,V6_expected_supply_temp,46019.72530913953
48h,V6_expected_return_temp,0.0
48h,V6_expected_delta_T,46019.725308737674
48h,W1_expected_supply_temp,46019.72530159873
48h,W1_expected_return_temp,0.0
48h,W1_expected_delta_T,46019.725301660466
48h,ZN_expected_supply_temp,46019.725292415234
48h,ZN_expected_return_temp,0.0
48h,ZN_expected_delta_T,46019.7252907956
48h,hdd_18,68677.6364905463
48h,hdd_15_5,72186.30509847838
48h,temp_change,18.925898815659632
48h,is_daytime,167.26257197337205
48h,is_weekend,425.73192309579775
48h,demand_lag_12h,44830.74309647584
48h,demand_lag_24h,55773.0532162646
48h,demand_lag_48h,47927.713202630934
48h,demand_lag_72h,43071.12461345932
48h,demand_lag_96h,49359.15624863361
48h,demand_lag_120h,59561.69075157976
48h,demand_lag_144h,43225.445347294975
48h,demand_lag_168h,33591.76200086278
48h,demand_lag_169h,32474.428797402536
48h,demand_lag_170h,30062.940490447018
48h,demand_lag_171h,27194.581317253083
48h,demand_lag_172h,24585.826258576082
48h,demand_mean_24h,56559.74457897644
48h,demand_std_24h,19905.72397952218
48h,temp_mean_24h,53929.651635261034
48h,temp_std_24h,10675.152696106063
48h,demand_mean_48h,56657.837000936706
48h,demand_std_48h,30231.30946837656
48h,temp_mean_48h,52067.487162103665
48h,temp_std_48h,10645.032164042721
48h,demand_mean_72h,56971.61182964539
48h,demand_std_72h,36443.78585659326
48h,temp_mean_72h,50784.237303231595
48h,temp_std_72h,9908.956305001399
48h,demand_mean_96h,58566.51933775323
48h,demand_std_96h,36737.20512447067
48h,temp_mean_96h,49756.98844630153
48h,temp_std_96h,9272.203663289418
48h,demand_mean_168h,64611.31639090986
48h,demand_std_168h,39244.380275576026
48h,temp_mean_168h,47878.141094564584
48h,temp_std_168h,7219.841085377782
48h,demand_mean_336h,60972.24171336728
48h,demand_std_336h,41826.85981649632
48h,temp_mean_336h,46559.62224675415
48h,temp_std_336h,5031.350600436558
48h,demand_mean_504h,56926.13521376103
48h,demand_std_504h,38677.72748358931
48h,temp_mean_504h,45074.5977481862
48h,temp_std_504h,5393.545369083358
48h,demand_velocity_24h,177.1961933391317
48h,demand_velocity_48h,305.2086397673537
48h,demand_velocity_72h,455.3118177631722
48h,demand_acceleration_72h,160.37960819566842
48h,demand_jerk_72h,131.60047806421244
48h,temp_trend_48h,408.3109684407899
48h,demand_trend_48h,282.50263089491506
48h,temp_trend_72h,534.7942247250261
48h,demand_trend_72h,338.12360538939805
48h,temp_trend_96h,629.6843630983211
48h,demand_trend_96h,238.46056293983463
48h,temp_trend_168h,679.5310543717718
48h,demand_trend_168h,163.2622500080292
48h,hour_sin,225.15708441514727
48h,hour_cos,266.09077045708307
48h,dow_sin,41.156656424176006
48h,dow_cos,834.8444694277641
48h,month_sin,6488.976665311132
48h,month_cos,32985.03189919357
48h,season_sin_1,1435.9399836770942
48h,season_cos_1,54767.21066074266
48h,season_sin_2,543.0707002253426
48h,season_cos_2,1255.9977413965062
48h,season_sin_3,0.053347294859553855
48h,season_cos_3,17.94766954657143
48h,week_sin_1,30.440263795003702
48h,week_cos_1,777.137164744989
48h,week_sin_2,203.89088163889107
48h,week_cos_2,100.41931237637635
48h,week_sin_3,35.17776148698916
48h,week_cos_3,0.0007782867562513071
48h,week_sin_4,19.55608961246192
48h,week_cos_4,4.37095207886789
48h,is_business_day,425.73192309579883
48h,is_friday,611.7478519363425
48h,is_sunday,145.38857218851265
48h,week_of_year,1792.9425850744024
48h,day_of_month,89.84392034319194
48h,is_month_start,19.18248588317126
48h,is_month_middle,22.711866992423367
48h,is_month_end,8.172954738868432
48h,temp_change_6h,431.95510303603004
48h,temp_change_24h,266.51366636666535
48h,temp_change_72h,628.199501815212
48h,hdd_trend_72h,737.5969544255347
48h,hdd_acceleration_72h,125.19967511201291
48h,V1_temp_trend_72h,801.2488628544423
48h,V1_temp_volatility_72h,17825.066803702615
48h,V1_temp_momentum_48h,730.2551594690071
48h,N1_temp_trend_72h,801.2488627711128
48h,N1_temp_volatility_72h,17825.066803368598
48h,N1_temp_momentum_48h,730.2551594046089
48h,B1_B2_temp_trend_72h,801.2488628565003
48h,B1_B2_temp_volatility_72h,17825.066808316617
48h,B1_B2_temp_momentum_48h,730.2551594483634
48h,W1_temp_trend_72h,801.2488628544426
48h,W1_temp_volatility_72h,17825.066803702633
48h,W1_temp_momentum_48h,730.2551594690071
48h,F1_Sud_temp_trend_72h,801.2488628565003
48h,F1_Sud_temp_volatility_72h,17825.066808316617
48h,F1_Sud_temp_momentum_48h,730.2551594483634
48h,temp_hdd_interaction,905.521096086027
48h,weekend_seasonal,764.2840062092798
48h,month_dow_interaction,40.22956656058246
48h,temp_seasonal_interaction,15454.270092338533
48h,demand_volatility_24h,17377.171432783558
